[14:02:15][INFO][2160][main:449] Script execution started: 2023-12-01 14:02:15
[14:02:25][INFO][2160][connect_to_device:337] ===> Connecting to DCR-SPA3-Access (10.201.16.76)
[14:02:25][INFO][2160][_log:1893] Connected (version 1.99, client Cisco-1.25)
[14:02:26][INFO][2160][_log:1893] Auth banner: b'CCCCC\r\nUNAUTHORIZED ACCESS TO THIS NETWORK DEVICE IS PROHIBITED. \r\nYou must have explicit permission to access or configure this device. \r\nAll activities performed on this device may be logged, and violations\r\nof this policy may result in disciplinary action, and may be reported to \r\nlaw enforcement. There is no right to privacy on this device.\r\n'
[14:02:26][INFO][2160][_log:1893] Authentication (password) successful!
[14:02:26][INFO][2160][connect_to_device:340] <=== Received DCR-SPA3-Access (10.201.16.76)
[14:02:26][INFO][2160][process_device_data:379] Processing data on the network device ...
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.145e on GigabitEthernet1/34
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.146d on GigabitEthernet2/8
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.1486 on GigabitEthernet1/41
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.14a4 on GigabitEthernet2/14
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.14c2 on GigabitEthernet2/18
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.154e on GigabitEthernet5/8
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.1602 on GigabitEthernet5/4
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.1620 on GigabitEthernet1/26
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.16cf on GigabitEthernet1/14
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.175b on GigabitEthernet1/4
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.18dc on GigabitEthernet1/48
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.1b1b on GigabitEthernet2/33
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.1b39 on GigabitEthernet2/22
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.1c88 on GigabitEthernet1/7
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.2075 on GigabitEthernet2/47
